MARKET_CODE,MARKET_DESC,STOCK_CODE,STOCK_NAME,FULL_NAME,SHORT_NAME,WEBSITE,UC_NO
2,深A,002388,新亚制程,深圳市新亚电子制程股份有限公司,新亚制程,http://www.sunyes.cn,920000046357 
2,深A,300462,华铭智能,上海华铭智能终端设备股份有限公司,华铭智能,http://www.hmmachine.com,920000043366 
2,深A,002578,闽发铝业,福建省闽发铝业股份有限公司,闽发铝业,http://www.minfa.com,920000062393 
2,深A,300024,机器人,沈阳新松机器人自动化股份有限公司,机器人,http://www.siasun.com,920000049147 
2,深A,000698,沈阳化工,沈阳化工股份有限公司,沈阳化工,http://www.sychem.com,920000047883 
2,深A,000957,中通客车,中通客车控股股份有限公司,中通客车,http://www.zhongtong.com,920000002456 
2,深A,300558,贝达药业,贝达药业股份有限公司,贝达药业,http://www.bettapharma.com,920000059837 
2,深A,300520,科大国创,科大国创软件股份有限公司,科大国创,http://www.kdgcsoft.com,920000042912 
2,深A,002349,精华制药,精华制药集团股份有限公司,精华制药,http://www.ntjhzy.com,920000053650 
2,深A,002293,罗莱生活,罗莱生活科技股份有限公司,罗莱生活,http://www.luolai.com.cn,920000051179 
2,深A,300004,南风股份,南方风机股份有限公司,南风股份,http://www.ntfan.com,920000047325 
2,深A,000831,*ST五稀,五矿稀土股份有限公司,五矿稀土,http://www.cmreltd.com,920000034524 
2,深A,000591,太阳能,中节能太阳能股份有限公司,太阳能,http://www.cecsec.cn,920000025530 
2,深A,002149,西部材料,西部金属材料股份有限公司,西部材料,http://www.c-wmm.com,920000013154 
2,深A,000603,盛达矿业,盛达矿业股份有限公司,盛达矿业,http://www.sdjt.com,920000056286 
2,深A,000625,长安汽车,重庆长安汽车股份有限公司,长安汽车,http://www.changan.com.cn,920000028296 
2,深A,000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,深纺织Ａ,http://www.chinasthc.com,920000003180 
2,深A,002695,煌上煌,江西煌上煌集团食品股份有限公司,煌上煌,http://www.jxhsh.com.cn,920000031521 
2,深A,002433,太安堂,广东太安堂药业股份有限公司,太安堂,http://www.pibao.cn,920000009704 
2,深A,300143,星河生物,广东星河生物科技股份有限公司,星河生物,http://www.starway.com.cn,920000043353 
2,深A,000533,万家乐,广东万家乐股份有限公司,万家乐,http://www.macro.com.cn,920000042423 
2,深A,000780,平庄能源,内蒙古平庄能源股份有限公司,平庄能源,http://www.nmgpzny.com,920000066199 
2,深A,300400,劲拓股份,深圳市劲拓自动化设备股份有限公司,劲拓股份,http://www.jt-ele.com,920000047380 
2,深A,300338,开元仪器,长沙开元仪器股份有限公司,开元仪器,http://www.chs5e.com,920000062944 
2,深A,300178,腾邦国际,深圳市腾邦国际商业服务股份有限公司,腾邦国际,http://www.feiren.com,920000001169 
2,深A,300413,快乐购,快乐购物股份有限公司,快乐购,http://www.happigo.com,920000000612 
2,深A,300312,邦讯技术,邦讯技术股份有限公司,邦讯技术,http://www.boomsense.com,920000035792 
2,深A,002623,亚玛顿,常州亚玛顿股份有限公司,亚玛顿,http://www.czamd.com,920000050592 
2,深A,300013,新宁物流,江苏新宁现代物流股份有限公司,新宁物流,http://www.xinning.com.cn,920000018118 
2,深A,300021,大禹节水,大禹节水集团股份有限公司,大禹节水,http://www.dyjs.com/,920000061850 
2,深A,000657,中钨高新,中钨高新材料股份有限公司,中钨高新,,920000058736 
2,深A,000669,金鸿能源,中油金鸿能源投资股份有限公司,金鸿能源,http://www.000669.com,920000043578 
2,深A,000915,山大华特,山东山大华特科技股份有限公司,山大华特,http://www.sd-wit.com,920000024879 
2,深A,000677,恒天海龙,恒天海龙股份有限公司,恒天海龙,http://www.helon.cn,920000024669 
2,深A,002310,东方园林,北京东方园林环境股份有限公司,东方园林,http://www.orientscape.com,920000054021 
2,深A,300099,尤洛卡,尤洛卡矿业安全工程股份有限公司,尤洛卡,http://www.uroica.com.cn,920000035212 
2,深A,300452,山河药辅,安徽山河药用辅料股份有限公司,山河药辅,http://www.shanhe01.com,920000055384 
