FULL_NAME,WEB_SITE,SHORT_NAME,UC_NO,REGISTER_NO
苏州泰弘景晖投资中心（有限合伙）,www.highlightcapital.com,,,P1014360
上海葡萄纬度创业投资有限公司,,葡萄纬度,920000056855 ,P1032773
北京正心投资有限公司,,正心投资,920000028476 ,P1006424
湖南高新创投健康养老基金管理有限公司,,高新创投健康养老,920000002373 ,P1032270
上海纳珍谷谦投资管理有限公司,http://www.nazn.cn,纳珍谷谦,920000032204 ,P1004134
上海中正达广投资管理有限公司,http://www.zzwealth.cn,中正达广,920000058041 ,P1002704
北京荣禹投资基金管理有限公司,,北京荣禹,920000015212 ,P1032995
深圳市联润东方股权投资基金管理有限公司,,联润东方,920000010353 ,P1015191
北京明希资本管理有限公司,,明希资本,920000051170 ,P1023845
北京丰毅投资管理有限公司,,北京丰毅,920000030220 ,P1033154
湖南溪道资产管理有限公司,,溪道资产,920000012429 ,P1030183
深圳前海博信股权投资基金管理有限公司,,深圳博信投资,920000027256 ,P1020371
深圳市世纪点金投资咨询管理有限公司,,世纪点金投资,920000028380 ,P1009077
南京扬子江投资基金管理有限公司,,南京扬子江投资,920000065113 ,P1008623
浙江瀚木资产管理有限公司,,瀚木资产,920000013583 ,P1017736
山东华宸股权投资管理有限公司,,华宸投资,920000037942 ,P1029961
上海君冠投资咨询有限公司,,君冠投资,920000056788 ,P1013263
江苏海圣投资管理有限公司,,海圣投资,920000010235 ,P1018911
汇升联华创业投资管理（北京）有限公司,,联华创投,920000043120 ,P1002277
赣资泰豪(上海)股权投资管理有限公司,,赣资泰豪,920000034050 ,P1003975
深圳天启泽瑞股权投资管理有限公司,,天启泽瑞,920000000631 ,P1021540
巴旗资产管理(上海)有限公司,,巴旗资产,920000014471 ,P1016382
上海货力资产管理有限公司,http://www.huoliasset.com,货力资产,920000050378 ,P1015555
深圳市思沃投资基金管理中心(有限合伙）,,思沃投资,920000057878 ,P1026360
深圳前海复金基金管理有限公司,,复金基金,920000026748 ,P1009403
上海薄发投资有限公司,,薄发投资,920000004197 ,P1011195
广州市安信股权投资基金管理有限公司,,珠海横琴,920000061486 ,P1004359
北京云文云信资本管理有限公司,,云文云信,920000012095 ,P1009120
上海鼎汇通股权投资管理有限公司,,鼎汇通投资,920000062264 ,P1004863
北京展腾渤润投资管理有限公司,http://www.eagleig.com,展腾渤润,920000006224 ,P1009715
北京五环投资基金管理有限公司,,五环投资,920000005883 ,P1028931
北京兴源投资管理有限责任公司,,兴源投资,920000048994 ,P1022173
北京中岩资本管理有限公司,,中岩资本,920000028735 ,P1017885
深圳市启赋新材创业投资管理有限公司,,启赋新材,920000013483 ,P1033651
张家界旺金资产管理有限公司,http://www.wangjinzcgl.com,旺金资产,920000066267 ,P1010946
深圳市前海弥伦基金管理有限公司,,弥伦基金,920000000448 ,P1024165
国投中联投资管理（北京）有限公司,,,,P1024554
摩菲股权投资基金管理（上海）有限公司,,摩菲基金,920000040001 ,P1019677
广东华大创投投资管理有限公司,,华大创投投资,920000054099 ,P1034239
深圳飞马星火资本管理有限公司,,飞马星火,920000032159 ,P1032002
深圳朗泽资产管理有限公司,,朗泽资产,920000055429 ,P1030106
泰石（北京）投资管理有限公司,,北京泰石投资,920000006758 ,P1012494
深圳市物明博济股权投资管理合伙企业（有限合伙）,http://www.winningvc.com,物明博济,920000014492 ,P1022123
华奥六宝投资基金管理（北京）有限公司,,华奥六宝,920000024592 ,P1003261
北京三益投资管理有限公司,,三益投资,920000019423 ,P1034564
深圳前海稳得利投资管理有限公司,,稳得利投资,920000055877 ,P1030716
河南博思资产管理股份有限公司,,博思资产,920000049500 ,P1032670
深圳九铭中汇创业投资中心（有限合伙）,www.szjmct.com,九铭中汇,920000001614 ,P1033847
上海巨谷股权投资基金有限公司,,巨谷投资,920000034627 ,P1004962
杭州元弘投资管理有限公司,,元弘投资,920000049849 ,P1033300
富是（深圳）投资管理有限公司,,富是投资,920000041393 ,P1033791
厦门创势仁和资本管理有限公司,,创势仁和资本,920000007196 ,P1034104
中泰世华节能投资有限公司,,中泰世华,920000043411 ,P1017259
天津松石资产管理有限公司,,松石资产,920000056884 ,P1013435
广东颜肖珂投资管理有限公司,,颜肖珂投资,920000066093 ,P1034596
北京万方鑫润基金管理有限公司,QYXY.BAIC.GOV.CN,万方鑫润,920000062555 ,P1020950
杭州马良投资有限公司,,马良投资,920000029961 ,P1005575
鞍山中远资产管理有限公司,,中远资产,920000044444 ,P1030142
嘉兴中交瀚通投资管理有限公司,,,920007901921 ,P1060772
上海颢瀚资产管理有限公司,,颢瀚资产,920000064137 ,P1009401
深圳市铸元君岳投资基金管理有限责任公司,,铸元君岳,920007902915 ,P1060464
宁波尼莫湾投资管理有限公司,,尼莫湾投资,920000053069 ,P1033324
合肥佳融创业投资管理有限公司,WWW.SZGIG.COM,佳融创投,920000042167 ,P1009840
广州广花基金管理有限公司,,,920007902211 ,P1060919
中券金控（北京）资产管理有限公司,,中券金控,920000037270 ,P1060175
上海意隆财富投资管理有限公司,http://www.elongwm.com/,意隆财富,920000033058 ,P1023148
北京阖裕投资有限公司,,阖裕投资,920000063360 ,P1027318
深圳前海宝璋投资管理有限公司,,宝璋投资,920000041601 ,P1015710
联行（北京）资产管理有限公司,http://www.uamc.com.cn,联行资产,920000044819 ,P1022912
华旗基金管理（大连）有限公司,,,920000011607 ,P1021180
广东利他投资管理有限公司,,利他投资,920000011368 ,P1022509
天津天雨满盈股权投资基金管理有限公司,,天雨满盈,920007902497 ,P1060240
上海爱建财富管理有限公司,http://www.ajcf.com.cn,爱建财富,920000001939 ,P1028980
中融万利（北京）投资管理有限公司,http://www.zrwlchina.com,中融万利,920000017622 ,P1014104
武汉坤州大德投资管理有限公司,,坤州大德,920000014400 ,P1005609
北京仓源投资基金管理有限公司,,仓源投资,920000036695 ,P1008341
中英低碳创业投资有限公司,http://www.cecep.cn,中英低碳,920000011334 ,P1002289
北京东方国润投资基金管理中心（有限合伙）,,东方国润,920000013251 ,P1012555
鑫财源（北京）投资基金管理有限公司,,鑫财源投资,920000006057 ,P1010672
上海秉通投资管理有限公司,,秉通投资,920000004551 ,P1009892
山东盈辉投资管理有限公司,,盈辉投资,920000007003 ,P1007355
浙江引石资产管理有限公司,,引石资产,920000004839 ,P1033996
深圳市燕园基金管理有限公司,http://www.yanyuanfund.com,燕园基金,920000050269 ,P1014593
北京光大五道口投资基金管理有限公司,,光大五道口,920000042602 ,P1014071
广东香樟资产管理有限公司,,香樟资产,920000013676 ,P1032757
深圳克谐资产管理有限公司,,克谐资产,920000029208 ,P1025050
